continuation_position,local_chapter,sample_chapters,input_token_median,input_token_q1,input_token_q3,v20_score_mean,v20_score_std
1,5,60,41435.0,38140.75,47997.25,86.45,6.423
2,6,60,47602.0,44303.25,54216.75,86.891,4.063
3,7,60,55799.0,52091.5,84629.5,87.047,4.301
4,8,60,62144.0,58415.0,69245.5,86.543,4.908
5,9,60,68816.5,64202.25,73102.75,86.095,5.118
6,10,60,68988.0,65295.0,76582.75,86.933,4.924
